sample_index,t_arduino_s,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,flex,pressure,pressure_adc,flex_adc,acc_x_g,acc_y_g,acc_z_g,gyr_x_rads,gyr_y_rads,gyr_z_rads,Time,BR_X,BR_Y,BR_Z,BR_W,BP_X,BP_Y,BP_Z,TR_X,TR_Y,TR_Z,TR_W,TP_X,TP_Y,TP_Z,phi,theta,psi,dx,dy,dz
50.0,0.2083333333333333,0.2561795776367187,0.13694833496093745,9.847830268554688,0.07575528341099048,0.00932618684271774,0.02163675347510524,3576.4,3829.4871794871783,470.4,3576.4,0.026123046875,0.01396484375,1.00419921875,0.07575528341099048,0.00932618684271774,0.02163675347510524,0.20833333333333334,-7.219999999999999e-05,6.64e-05,1.8999999999999994e-05,-1.0,0.2520524,0.3059096,0.2442784,-0.0006384000000000001,-5.659999999999999e-05,-3.1799999999999994e-05,-1.0,0.2396252,0.169279,0.2639536,0.00113241562138368,0.00024596889012676,0.0001016584686132058,0.01242719999999994,0.1366306,-0.019675199999999983
55.0,0.2291666666666666,0.27437551025390616,0.11587936035156246,9.793721311035156,0.07519571220042742,0.01079173048943052,0.021450229738250857,3581.2,3754.0293040293022,469.2,3581.2,0.027978515625,0.01181640625,0.998681640625,0.07519571220042742,0.01079173048943052,0.021450229738250857,0.22916666666666666,-5.74e-05,5.1599999999999994e-05,1.8999999999999994e-05,-1.0,0.25205679999999997,0.3059112,0.244276,-0.0005475999999999999,-3.18e-05,-3.799999999999995e-06,-1.0,0.23962340000000001,0.1692836,0.263951,0.0009804028111139,0.00016679711410647286,4.561751857751869e-05,0.0124333999999999,0.1366276,-0.019674999999999977
60.0,0.25,0.24564509033203122,0.10726023437499996,9.843041865234374,0.07631485462155355,0.0094061255870839,0.02187656970820368,3569.0,3917.521367521368,471.8,3569.0,0.025048828125,0.0109375,1.0037109375,0.07631485462155355,0.0094061255870839,0.02187656970820368,0.25,-8.240000000000001e-05,4.98e-05,1.2599999999999998e-05,-1.0,0.25205639999999996,0.30590860000000003,0.24427859999999998,-0.0006682,-0.00010199999999999999,-4.699999999999999e-05,-1.0,0.2396236,0.1692788,0.2639602,0.00117164312236572,0.00030353612440473996,0.00011932252262716791,0.01243279999999994,0.1366298,-0.01968159999999998
65.0,0.2708333333333333,0.2916137622070312,0.12832920898437497,9.822451730957031,0.07500918846357305,0.01001898929389108,0.021130474760786243,3582.2,3816.9108669108655,470.2,3582.2,0.029736328125,0.0130859375,1.001611328125,0.07500918846357305,0.01001898929389108,0.021130474760786243,0.2708333333333333,-7.939999999999999e-05,4.54e-05,2.2199999999999998e-05,-1.0,0.2520576,0.30590979999999995,0.24427680000000002,-0.0005780000000000001,-1.419999999999999e-05,-9.999999999999944e-07,-1.0,0.2396252,0.16928079999999998,0.263952,0.00099720384690832,0.00011921141575608147,4.639595854425735e-05,0.012432399999999939,0.13662900000000003,-0.01967519999999996
70.0,0.2916666666666667,0.28634651855468746,0.14125789794921875,9.824367092285154,0.07487595722296278,0.00876661563215468,0.021716692219471378,3573.4,3917.5213675213663,471.8,3573.4,0.02919921875,0.014404296875,1.001806640625,0.07487595722296278,0.00876661563215468,0.021716692219471378,0.2916666666666667,-5.66e-05,6.199999999999999e-05,2.6e-05,-1.0,0.2520572,0.3059112,0.2442774,-0.0006732,-0.00010219999999999999,-4.7799999999999996e-05,-1.0,0.23962440000000002,0.1692768,0.26395899999999994,0.00123324801745048,0.0003283514550791448,0.00014770858972857167,0.012432799999999961,0.13663439999999993,-0.01968159999999998
75.0,0.3125,0.24372972900390627,0.1398213769531249,9.810480722656248,0.0746094947417423,0.009166309353985418,0.020730781038955502,3568.2,3816.9108669108655,470.2,3568.2,0.024853515625,0.0142578125,1.000390625,0.0746094947417423,0.009166309353985418,0.020730781038955502,0.3125,-0.0001226,6.64e-05,1.4199999999999998e-05,-1.0,0.2520536,0.3059058,0.2442808,-0.0006347999999999999,-5.1599999999999994e-05,-1.4199999999999996e-05,-1.0,0.239624,0.1692816,0.26395120000000005,0.00102440839986318,0.00023598933056250001,5.683248602747781e-05,0.01242959999999994,0.13662419999999997,-0.01967039999999998
80.0,0.3333333333333333,0.25665841796875,0.12880804931640621,9.791805949707031,0.07495589596732896,0.00873996938403264,0.021716692219471378,3568.4,3766.605616605616,469.4,3568.4,0.026171875,0.013134765625,0.998486328125,0.07495589596732896,0.00873996938403264,0.021716692219471378,0.3333333333333333,-0.0001256,6.319999999999999e-05,-1.1000000000000001e-05,-1.0,0.2520514,0.3059082,0.2442808,-0.000624,-2.999999999999999e-05,2.0000000000000054e-06,-1.0,0.2396248,0.16928379999999998,0.2639546,0.0009967988663604401,0.00018639570149979842,-2.5995517905956647e-05,0.01242659999999992,0.13662439999999998,-0.01967379999999994
85.0,0.3541666666666667,0.208774384765625,0.13359645263671868,9.84208418457031,0.07631485462155356,0.00980581930891466,0.021823277211959556,3569.6,3854.6398046398035,470.8,3569.6,0.0212890625,0.013623046875,1.00361328125,0.07631485462155356,0.00980581930891466,0.021823277211959556,0.3541666666666667,-0.0001536,4.14e-05,-1.2200000000000003e-05,-1.0,0.2520532,0.3059044,0.2442828,-0.0007764,-9.96e-05,-5.979999999999999e-05,-0.9999998,0.2396274,0.1692738,0.2639612,0.00124563606120242,0.00028192099675073995,9.533410217859025e-05,0.01242579999999994,0.1366306,-0.019678399999999922
90.0,0.375,0.23558944335937496,0.13024457031249997,9.84112650390625,0.07599509964408892,0.00975252681267056,0.0226226646556211,3574.2,4018.1318681318676,473.4,3574.2,0.0240234375,0.01328125,1.003515625,0.07599509964408892,0.00975252681267056,0.0226226646556211,0.375,-7.840000000000001e-05,0.00010039999999999999,3.84e-05,-1.0,0.2520518,0.3059086,0.2442822,-0.0005914,-5.919999999999999e-05,-2.3599999999999994e-05,-1.0,0.23962599999999998,0.1692832,0.26395599999999997,0.0010260273403245,0.0003191838919669245,0.00012403547147353725,0.01242579999999994,0.1366254,-0.01967379999999992
95.0,0.3958333333333333,0.25091233398437496,0.15562310791015624,9.82532477294922,0.07615497713282124,0.009459418083328019,0.01998468609153808,3574.8,3980.402930402929,472.8,3574.8,0.0255859375,0.015869140625,1.001904296875,0.07615497713282124,0.009459418083328019,0.01998468609153808,0.3958333333333333,-5.7199999999999994e-05,5.6999999999999996e-05,4.2199999999999996e-05,-1.0,0.2520572,0.30590660000000003,0.2442794,-0.000778,-0.00019619999999999997,-8.02e-05,-0.9999998,0.2396278,0.16927219999999998,0.26396959999999997,0.00144167252375928,0.0005062762138255,0.0002451026684336736,0.01242939999999992,0.1366344,-0.01969019999999998
