sample_index,t_arduino_s,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,flex,pressure,pressure_adc,flex_adc,acc_x_g,acc_y_g,acc_z_g,gyr_x_rads,gyr_y_rads,gyr_z_rads,Time,BR_X,BR_Y,BR_Z,BR_W,BP_X,BP_Y,BP_Z,TR_X,TR_Y,TR_Z,TR_W,TP_X,TP_Y,TP_Z,phi,theta,psi,dx,dy,dz
50.0,0.2083333333333333,9.221985954589842,4.076846586914062,-0.08619125976562494,0.07594180714784485,0.007967228188493158,0.016627258828159658,4.2,4533.760683760682,481.6,4.2,0.940380859375,0.41572265625,-0.0087890625,0.07594180714784485,0.007967228188493158,0.016627258828159658,0.20833333333333334,-0.16917100000000002,0.7061038,-0.6772168000000001,0.1190628,0.3413646,0.0856162,0.2788562,-0.12105840000000001,0.8172012000000001,-0.5633844,-0.011175000000000001,0.38383700000000004,0.0373188,0.40468460000000006,-0.357868220553711,0.22614579196776297,-0.08582032544020096,-0.042472399999999945,0.048297400000000004,-0.12582839999999998
55.0,0.2291666666666666,9.21001494628906,4.091211796875,-0.06464344482421872,0.07746064329080173,0.00647503829365832,0.016600612580037623,0.8,4646.947496947495,483.4,0.8,0.93916015625,0.4171875,-0.006591796875,0.07746064329080173,0.00647503829365832,0.016600612580037623,0.22916666666666666,-0.1687408,0.7059667999999999,-0.6774774,0.11900300000000001,0.341384,0.08556739999999999,0.27887039999999996,-0.121026,0.8172752000000001,-0.5632844,-0.011172199999999998,0.3838332,0.0373208,0.4046812,-0.35868635234668184,0.225402006313409,-0.08630288300395016,-0.042449199999999916,0.04824659999999999,-0.1258108
60.0,0.25,9.216239870605468,4.072537023925781,-0.09672574707031242,0.07610168463657714,0.009086370609619279,0.017852986241774022,0.0,4521.18437118437,481.4,0.0,0.939794921875,0.415283203125,-0.00986328125,0.07610168463657714,0.009086370609619279,0.017852986241774022,0.25,-0.1690602,0.7060912,-0.6772636000000001,0.1190286,0.3413718,0.0855998,0.278859,-0.12106379999999999,0.817277,-0.5632719999999999,-0.011253200000000001,0.38383399999999995,0.03732,0.40467999999999993,-0.3582625539387079,0.2259853683528988,-0.08604455238344424,-0.0424621999999999,0.04827979999999998,-0.12582099999999993
65.0,0.2708333333333333,9.215761030273438,4.054819931640624,-0.07613561279296868,0.07572863716286844,0.00969923431642646,0.01761317000867556,2.6,4634.371184371182,483.2,2.6,0.93974609375,0.4134765625,-0.007763671875,0.07572863716286844,0.00969923431642646,0.01761317000867556,0.2708333333333333,-0.169014,0.7061178,-0.67725,0.1190134,0.34137340000000005,0.0855996,0.2788608,-0.12120159999999999,0.8171337999999999,-0.5634472,-0.0113672,0.3838382,0.0373184,0.4046978,-0.35787034196867423,0.22584172045285728,-0.08648543793180634,-0.042464799999999955,0.0482812,-0.12583699999999998
70.0,0.2916666666666667,9.23587232421875,4.096479040527344,-0.10630255371093747,0.07628820837343152,0.0064750382936583,0.01769310875304172,0.0,4659.523809523807,483.6,0.0,0.941796875,0.417724609375,-0.01083984375,0.07628820837343152,0.0064750382936583,0.01769310875304172,0.2916666666666667,-0.1688984,0.7060366,-0.67736,0.11903380000000001,0.3413768,0.0855894,0.278864,-0.1210968,0.8172273999999999,-0.5633388,-0.011165600000000001,0.3838368,0.0373232,0.4046804,-0.3582905966791846,0.2255925790919726,-0.08619987465321913,-0.042459999999999956,0.04826619999999994,-0.12581639999999997
75.0,0.3125,9.19038249267578,4.065354418945313,-0.08236053710937496,0.07623491587718738,0.00868667688778852,0.018092802474872483,0.0,4823.015873015871,486.2,0.0,0.937158203125,0.41455078125,-0.0083984375,0.07623491587718738,0.00868667688778852,0.018092802474872483,0.3125,-0.1689774,0.7060677999999999,-0.6773038,0.1190568,0.3413752,0.0855988,0.2788608,-0.1211516,0.8171417999999999,-0.5634477999999999,-0.0113094,0.3838384,0.037322,0.4046938,-0.3580017747667542,0.22584921627165708,-0.0864479554452223,-0.04246319999999998,0.048276799999999974,-0.125833
80.0,0.3333333333333333,9.225337836914061,4.086902233886719,-0.08379705810546874,0.07634150086967559,0.0105519142563321,0.01825267996360478,0.6,4848.168498168496,486.6,0.6,0.94072265625,0.416748046875,-0.008544921875,0.07634150086967559,0.0105519142563321,0.01825267996360478,0.3333333333333333,-0.16901,0.7060740000000001,-0.6772934,0.11903079999999999,0.341372,0.0856,0.2788602,-0.12112099999999999,0.8173256,-0.5631885999999999,-0.0112756,0.3838332,0.037322,0.4046756,-0.3585508294585626,0.22582393268052883,-0.08620893022231726,-0.04246119999999992,0.04827799999999998,-0.12581539999999997
85.0,0.3541666666666667,9.197565097656248,4.096000200195312,-0.052672436523437484,0.07684777958399457,0.00807381318098136,0.01819938746736068,0.2,4646.947496947495,483.4,0.2,0.937890625,0.41767578125,-0.00537109375,0.07684777958399457,0.00807381318098136,0.01819938746736068,0.3541666666666667,-0.1688876,0.7060382000000001,-0.6773606,0.11903820000000001,0.3413784,0.08558760000000001,0.27886920000000004,-0.1210774,0.8172944,-0.5632436000000001,-0.0112648,0.383832,0.0373212,0.4046754,-0.3585752206280456,0.2257096206238826,-0.08634266261254234,-0.04245359999999994,0.0482664,-0.1258062
90.0,0.375,9.210972626953126,4.085465712890625,-0.08906430175781245,0.07732741205019147,0.00676814702300086,0.01803950997862836,0.0,4709.829059829057,484.4,0.0,0.9392578125,0.4166015625,-0.00908203125,0.07732741205019147,0.00676814702300086,0.01803950997862836,0.375,-0.16885180000000002,0.7060326,-0.6773816,0.11899979999999999,0.341381,0.0855794,0.278868,-0.1210838,0.8172597999999999,-0.5632933999999999,-0.011228400000000001,0.3838324,0.0373222,0.404678,-0.35846042212462365,0.22555642106356405,-0.086297914903763,-0.04245139999999992,0.048257199999999986,-0.12580999999999998
95.0,0.3958333333333333,9.210493786621091,4.0926483178710935,-0.08714894042968749,0.0761816233809433,0.00818039817346954,0.01750658501618734,0.2,4659.523809523807,483.6,0.2,0.939208984375,0.417333984375,-0.00888671875,0.0761816233809433,0.00818039817346954,0.01750658501618734,0.3958333333333333,-0.1688636,0.7060245999999999,-0.677378,0.11905139999999999,0.34138040000000003,0.085585,0.27886960000000005,-0.12111960000000002,0.8172504,-0.5632988,-0.0112632,0.38383459999999997,0.03732,0.40468200000000004,-0.3585005480573619,0.22562818753603725,-0.08645830175541348,-0.042454199999999935,0.048265,-0.1258124
